origin_country,destination_country,total_migrants
Bulgaria,Czech Republic,11635.0
Bulgaria,Denmark,9434.0
Bulgaria,Estonia,233.0
Bulgaria,France,28270.70014476776
Bulgaria,Greece,35287.0
Bulgaria,Hungary,1614.0
Bulgaria,Italy,48706.0
Bulgaria,LUX,1763.0
Bulgaria,Latvia,117.0
Bulgaria,Lithuania,45.0
Bulgaria,New Zealand,705.0
Bulgaria,Norway,7016.0
Bulgaria,Poland,3114.0
Bulgaria,Portugal,2918.0
Bulgaria,Slovakia,1531.0
Bulgaria,Slovenia,1153.0
Bulgaria,Spain,108789.0
Bulgaria,Sweden,9350.0
Bulgaria,Switzerland,8985.836011886597
Bulgaria,Turkey,355938.0
Bulgaria,United States,75116.0
Cambodia,Australia,37739.0
Cambodia,Bulgaria,10.0
Cambodia,Canada,23380.0
Cambodia,Colombia,7.0
Cambodia,Czech Republic,62.0
Cambodia,Denmark,239.0
Cambodia,Estonia,10.0
Cambodia,France,56932.136199465254
Cambodia,Greece,3.0
Cambodia,Hungary,108.0
Cambodia,Italy,1137.0
Cambodia,LUX,80.0
Cambodia,Lithuania,7.0
Cambodia,New Zealand,7455.0
Cambodia,Norway,456.0
Cambodia,Poland,37.0
Cambodia,Portugal,23.0
Cambodia,Slovakia,6.0
Cambodia,Slovenia,1.0
Cambodia,South Korea,37108.0
Cambodia,Spain,107.0
Cambodia,Sweden,650.0
Cambodia,Switzerland,2173.6459856210204
Cambodia,United States,150284.0
Cameroon,Australia,463.0
Cameroon,Bulgaria,20.0
Cameroon,Canada,27440.0
Cameroon,Colombia,14.0
Cameroon,Czech Republic,112.0
Cameroon,Denmark,758.0
Cameroon,Estonia,141.0
Cameroon,France,108413.63816869259
Cameroon,Greece,1117.0
Cameroon,Hungary,210.0
Cameroon,Italy,14195.0
Cameroon,LUX,1514.0
Cameroon,Latvia,45.0
Cameroon,Lithuania,10.0
Cameroon,New Zealand,15.0
Cameroon,Norway,776.0
Cameroon,Poland,238.0
Cameroon,Portugal,158.0
Cameroon,Slovakia,10.0
Cameroon,Slovenia,20.0
Cameroon,Spain,6471.0
Cameroon,Sweden,1925.0
Cameroon,Switzerland,7038.359068870544
Cameroon,Turkey,2066.0
Cameroon,United States,77418.0
Canada,Australia,46548.0
Canada,Bulgaria,273.0
Canada,Canada,21282220.0
Canada,Colombia,851.0
Canada,Czech Republic,1041.0
Canada,Denmark,3621.0
Canada,Estonia,201.0
Canada,France,22782.566856601257
Canada,Greece,11898.0
Canada,Hungary,1578.0
Canada,Italy,23112.0
Canada,LUX,729.0
Canada,Latvia,121.0
Canada,Lithuania,57.0
Canada,New Zealand,11022.0
Canada,Norway,3151.0
Canada,Poland,3045.0
Canada,Portugal,6958.0
Canada,Slovakia,370.0
Canada,Slovenia,354.0
Canada,Spain,6847.0
Canada,Sweden,3895.0
Canada,Switzerland,11346.353009223938
Canada,Turkey,2873.0
Canada,United States,916071.0
Chile,Australia,29213.0
Chile,Bulgaria,33.0
Chile,Canada,30320.0
Chile,Colombia,2342.0
Chile,Czech Republic,228.0
Chile,Denmark,2224.0
Chile,Estonia,47.0
Chile,France,14758.111151669891
Chile,Greece,404.0
Chile,Hungary,356.0
Chile,Italy,11747.0
Chile,LUX,245.0
Chile,Latvia,6.0
Chile,New Zealand,3621.0
Chile,Norway,6447.0
Chile,Poland,180.0
Chile,Portugal,473.0
Chile,Slovakia,16.0
