destination_country,origin_country,gender,age,number
Australia,Ireland,Female,25-64,25767.0
Australia,Ireland,Female,65+,8766.0
Australia,Ireland,Male,15-24,1821.0
Australia,Ireland,Male,25-64,30293.0
Australia,Ireland,Male,65+,8617.0
Australia,Italy,Female,15-24,1111.0
Australia,Italy,Female,25-64,20969.0
Australia,Italy,Female,65+,57474.0
Australia,Italy,Male,15-24,1171.0
Australia,Italy,Male,25-64,27059.0
Australia,Italy,Male,65+,54046.0
Australia,Jamaica,Female,15-24,11.0
Australia,Jamaica,Female,25-64,358.0
Australia,Jamaica,Female,65+,151.0
Australia,Jamaica,Male,15-24,17.0
Australia,Jamaica,Male,25-64,437.0
Australia,Jamaica,Male,65+,127.0
Australia,Japan,Female,15-24,2084.0
Australia,Japan,Female,25-64,25522.0
Australia,Japan,Female,65+,2490.0
Australia,Japan,Male,15-24,1915.0
Australia,Japan,Male,25-64,8478.0
Australia,Japan,Male,65+,1304.0
Australia,Kenya,Female,15-24,1977.0
Australia,Kenya,Female,25-64,7481.0
Australia,Kenya,Female,65+,1250.0
Australia,Kenya,Male,15-24,1800.0
Australia,Kenya,Male,25-64,6221.0
Australia,Kenya,Male,65+,1245.0
Australia,North Korea,Female,15-24,4541.0
Australia,North Korea,Female,25-64,44915.0
Australia,North Korea,Female,65+,4354.0
Australia,North Korea,Male,15-24,4503.0
Australia,North Korea,Male,25-64,35092.0
Australia,North Korea,Male,65+,3762.0
Australia,Laos,Female,15-24,243.0
Australia,Laos,Female,25-64,4507.0
Australia,Laos,Female,65+,1187.0
Australia,Laos,Male,15-24,191.0
Australia,Laos,Male,25-64,3469.0
Australia,Laos,Male,65+,1226.0
Australia,Lebanon,Female,15-24,1410.0
Australia,Lebanon,Female,25-64,28834.0
Australia,Lebanon,Female,65+,10959.0
Australia,Lebanon,Male,15-24,1498.0
Australia,Lebanon,Male,25-64,30235.0
Australia,Lebanon,Male,65+,12301.0
Australia,Morocco,Female,15-24,38.0
Australia,Morocco,Female,25-64,896.0
Australia,Morocco,Female,65+,225.0
Australia,Morocco,Male,15-24,31.0
Australia,Morocco,Male,25-64,849.0
Australia,Morocco,Male,65+,329.0
Australia,Malaysia,Female,15-24,8384.0
Australia,Malaysia,Female,25-64,59764.0
