city,latitude,longitude,country,population
Kalamazoo,42.2749,-85.5882,United States,200838
Galveston,29.2484,-94.8913,United States,200451
Spartanburg,34.9442,-81.9251,United States,200000
Santa Barbara,34.4285,-119.7202,United States,199023
Sunrise Manor,36.1783,-115.0487,United States,198325
Huntington Beach,33.696,-118.0018,United States,197481
Grand Prairie,32.6871,-97.0208,United States,197279
Overland Park,38.887,-94.687,United States,196676
McKinney,33.2016,-96.667,United States,196160
Waco,31.5599,-97.1882,United States,195709
Hagerstown,39.6401,-77.7217,United States,195261
Glendale,34.1819,-118.2468,United States,194512
Nampa,43.5844,-116.5638,United States,193935
Peoria,33.7843,-112.2989,United States,191292
Cedar Rapids,41.9662,-91.6783,United States,191104
Vancouver,45.6366,-122.5967,United States,190700
Paradise,36.0872,-115.1355,United States,189733
Ocala,29.178,-82.1511,United States,186840
Erie,42.1167,-80.0733,United States,185556
Newport News,37.1051,-76.5185,United States,185118
Frederick,39.4337,-77.4141,United States,184991
Murfreesboro,35.849,-86.4121,United States,184763
Fort Lauderdale,26.1412,-80.1464,United States,182673
Aurora,41.7638,-88.2902,United States,181405
Tempe,33.3881,-111.9319,United States,181005
Danbury,41.4015,-73.4709,United States,180143
Spring Hill,28.4798,-82.53,United States,178833
Gastonia,35.2494,-81.1854,United States,178220
Salinas,36.6883,-121.6317,United States,177410
Fredericksburg,38.2992,-77.4872,United States,176791
Ontario,34.0393,-117.6064,United States,176326
Elk Grove,38.4161,-121.3842,United States,176105
Gainesville,34.2902,-83.8294,United States,175569
Cary,35.7819,-78.8195,United States,174880
Rancho Cucamonga,34.1247,-117.5667,United States,174696
Oceanside,33.2247,-117.3083,United States,173722
Garden Grove,33.7787,-117.9601,United States,171637
Lancaster,34.6935,-118.1753,United States,171465
Hemet,33.7341,-116.9969,United States,170621
Pembroke Pines,26.0128,-80.3382,United States,170472
Panama City,30.1995,-85.6003,United States,169810
Vallejo,38.1125,-122.2342,United States,169541
Manchester,42.9848,-71.4447,United States,169097
Medford,42.3372,-122.854,United States,168959
Mauldin,34.7821,-82.3032,United States,168313
Santa Cruz,36.9789,-122.0346,United States,167835
Palmdale,34.5944,-118.1057,United States,166895
Norwich,41.5495,-72.0882,United States,166885
Muskegon,43.2281,-86.2562,United States,166847
Leesburg,28.7672,-81.8962,United States,166200
High Point,35.991,-79.9937,United States,164836
Tuscaloosa,33.2348,-87.5268,United States,164414
Visalia,36.3276,-119.3269,United States,163681
Marysville,48.0809,-122.1561,United States,162664
Merced,37.3057,-120.4779,United States,160638
Hayward,37.6328,-122.0766,United States,160602
Lafayette,40.3991,-86.8593,United States,160543
Springfield,39.7709,-89.654,United States,159671
Corona,33.8616,-117.5649,United States,158346
Paterson,40.9147,-74.1624,United States,157864
Alexandria,38.8185,-77.0861,United States,157594
Macon,32.8065,-83.6974,United States,156554
Binghamton,42.1014,-75.9093,United States,156375
Lakewood,39.6977,-105.1172,United States,156149
Kansas City,39.1235,-94.7443,United States,155438
Odessa,31.8801,-102.3448,United States,155039
Sunnyvale,37.3836,-122.0255,United States,154573
New Bedford,41.6697,-70.9428,United States,153701
Hollywood,26.0293,-80.1679,United States,152764
South Lyon,42.4614,-83.6526,United States,152132
Escondido,33.1348,-117.0723,United States,151114
Lake Charles,30.201,-93.2111,United States,151109
Pasadena,29.6575,-95.1498,United States,150620
Bellevue,47.5951,-122.1535,United States,150606
Joliet,41.5188,-88.1499,United States,150221
Champaign,40.1142,-88.2737,United States,150179
Pomona,34.0585,-117.7626,United States,149831
Fairfield,38.2583,-122.0335,United States,149635
Mesquite,32.7602,-96.5865,United States,149439
Elkhart,41.6916,-85.9627,United States,149423
Naperville,41.748,-88.1659,United States,149089
St. George,37.0758,-113.5752,United States,148895
Roseville,38.7703,-121.3196,United States,148879
Ramapo,41.1404,-74.1072,United States,148558
Topeka,39.0346,-95.6955,United States,148185
Burlington,36.076,-79.4685,United States,147415
Warner Robins,32.5961,-83.6527,United States,146790
Surprise,33.6815,-112.4515,United States,145591
Torrance,33.8346,-118.3416,United States,145454
Santa Maria,34.9333,-120.4431,United States,143647
Athens,33.9508,-83.3689,United States,143173
Houma,29.58,-90.7059,United States,143160
Columbia,38.9472,-92.3268,United States,142637
Fullerton,33.8841,-117.9279,United States,142280
Olathe,38.8833,-94.82,United States,142114
Thornton,39.9197,-104.9438,United States,141799
Greeley,40.4152,-104.7706,United States,140984
Beaumont,30.0849,-94.1451,United States,140930
Las Cruces,32.3265,-106.7893,United States,140915
Midland,32.0243,-102.1147,United States,140171
Metairie,29.9977,-90.178,United States,140046
West Valley City,40.6886,-112.0123,United States,138868
Orange,33.8038,-117.8218,United States,138728
Warren,42.4934,-83.027,United States,138588
Grand Junction,39.0877,-108.5673,United States,138416
Tyler,32.3184,-95.3062,United States,138024
Pasadena,34.1597,-118.139,United States,137554
Hampton,37.0551,-76.363,United States,137217
Bloomington,40.4757,-88.9703,United States,136524
Elizabeth,40.6658,-74.1913,United States,135665
Stamford,41.1039,-73.5585,United States,135413
Yuma,32.5995,-114.5491,United States,135389
Kent,47.3887,-122.2128,United States,135169
Miramar,25.9773,-80.3351,United States,135158
Coeur d'Alene,47.704,-116.7936,United States,134503
Lakewood,40.0763,-74.2031,United States,133875
Coral Springs,26.2702,-80.2591,United States,133801
Sterling Heights,42.5809,-83.0305,United States,133744
Yuba City,39.1357,-121.6383,United States,133106
Yakima,46.5923,-120.5496,United States,132354
Carrollton,32.989,-96.8999,United States,132284
Racine,42.7274,-87.8135,United States,132006
Johnson City,36.3406,-82.3806,United States,131718
Billings,45.7891,-108.5526,United States,131519
Iowa City,41.6559,-91.5303,United States,130736
Dover,39.161,-75.5202,United States,130186
Bellingham,48.7548,-122.469,United States,129880
Charleston,38.3484,-81.6322,United States,129754
Amherst,43.0117,-78.757,United States,129577
Lynchburg,37.4003,-79.1909,United States,128849
Santa Clara,37.3646,-121.968,United States,128058
Norman,35.2335,-97.3471,United States,127701
Greenville,35.5943,-77.376,United States,127574
Simi Valley,34.2663,-118.749,United States,127568
Fort Smith,35.3495,-94.3695,United States,126452
Abilene,32.4543,-99.7384,United States,126356
Lewisville,33.0454,-96.9815,United States,125028
Pearland,29.5581,-95.3218,United States,124478
Lehigh Acres,26.612,-81.6388,United States,124440
Kenosha,42.5865,-87.8773,United States,124297
Seaside,36.6224,-121.8199,United States,123421
Burlington,44.4876,-73.2316,United States,123307
Arvada,39.832,-105.151,United States,123066
Waldorf,38.6085,-76.9194,United States,122310
Independence,39.0871,-94.3501,United States,122218
Rochester,44.0154,-92.478,United States,121870
Logan,41.7399,-111.8422,United States,121666
Harlingen,26.1916,-97.6977,United States,121441
Berkeley,37.8722,-122.276,United States,121385
Clovis,36.8278,-119.683,United States,120607
Round Rock,30.527,-97.6642,United States,120465
Pueblo,38.2701,-104.6114,United States,120380
Temple,31.1068,-97.3891,United States,120240
Meridian,43.6116,-116.3977,United States,119872
Duluth,46.7756,-92.1393,United States,118574
The Woodlands,30.1738,-95.5134,United States,118402
Boulder,40.0248,-105.2524,United States,118090
Richardson,32.9716,-96.7093,United States,118063
Cambridge,42.3759,-71.1185,United States,117962
West Palm Beach,26.7469,-80.132,United States,117588
Port Arthur,29.8554,-93.9264,United States,117348
East Los Angeles,34.0326,-118.1691,United States,117222
Redding,40.5698,-122.365,United States,117163
Clearwater,27.979,-82.7623,United States,116984
Monroe,32.5185,-92.0774,United States,116927
Utica,43.0962,-75.2261,United States,116766
St. Cloud,45.534,-94.1718,United States,116649
Mandeville,30.3751,-90.0904,United States,116649
West Jordan,40.6024,-112.0008,United States,116383
Smithtown,40.8663,-73.2164,United States,116157
North Charleston,32.9067,-80.0722,United States,115755
Richmond,37.9477,-122.3389,United States,115619
Westminster,39.8837,-105.0624,United States,115502
Saginaw,43.4199,-83.9501,United States,115442
Kailua,21.392,-157.7396,United States,115264
Brandon,27.9367,-82.3,United States,114923
Carlsbad,33.1246,-117.2834,United States,114745
Lowell,42.6389,-71.3217,United States,114737
Broken Arrow,36.038,-95.7806,United States,114237
Elgin,42.0383,-88.324,United States,114190
Gresham,45.5021,-122.4413,United States,113525
League City,29.4874,-95.1087,United States,113469
Downey,33.9379,-118.1311,United States,113052
Waterloo,42.4918,-92.3522,United States,112333
Murrieta,33.5719,-117.1909,United States,111899
Leominster,42.5209,-71.7717,United States,111856
Longview,32.5193,-94.7622,United States,111855
Jacksonville,34.7289,-77.3941,United States,111830
Pompano Beach,26.2428,-80.1312,United States,111790
Bend,44.0563,-121.3095,United States,111774
Miami Gardens,25.9433,-80.2426,United States,111618
Costa Mesa,33.6667,-117.9135,United States,111490
Sioux City,42.4959,-96.3901,United States,111361
Everett,47.9525,-122.1669,United States,110847
Gilroy,37.0046,-121.5854,United States,110720
San Buenaventura,34.2741,-119.2314,United States,110358
Temecula,33.4928,-117.1315,United States,110114
Sugar Land,29.5935,-95.6358,United States,110077
Chico,39.7578,-121.8161,United States,110001
Eau Claire,44.8197,-91.4948,United States,109491
